,Column Labels,,,
,Sep,Oct,Nov,Grand Total
Row Labels,,,,
E06000001,,,,
Hartlepool,,,,
Sum of newDeaths28DaysByDeathDate.x,0,13,7,20
Sum of newDeaths28DaysByPublishDate.x,0,12,9,21
Sum of newDeaths28DaysByDeathDate.y,0,13,14,27
Sum of newDeaths28DaysByPublishDate.y,0,12,13,25
E06000002,,,,
Middlesbrough,,,,
Sum of newDeaths28DaysByDeathDate.x,3,16,9,28
Sum of newDeaths28DaysByPublishDate.x,3,13,12,28
Sum of newDeaths28DaysByDeathDate.y,3,16,11,30
Sum of newDeaths28DaysByPublishDate.y,3,13,22,38
E06000003,,,,
Redcar and Cleveland,,,,
Sum of newDeaths28DaysByDeathDate.x,1,35,20,56
Sum of newDeaths28DaysByPublishDate.x,1,30,26,57
Sum of newDeaths28DaysByDeathDate.y,1,35,26,62
Sum of newDeaths28DaysByPublishDate.y,1,30,37,68
E06000004,,,,
Stockton-on-Tees,,,,
Sum of newDeaths28DaysByDeathDate.x,2,39,17,58
Sum of newDeaths28DaysByPublishDate.x,2,28,28,58
Sum of newDeaths28DaysByDeathDate.y,2,39,29,70
Sum of newDeaths28DaysByPublishDate.y,2,28,35,65
E06000005,,,,
Darlington,,,,
Sum of newDeaths28DaysByDeathDate.x,1,31,17,49
Sum of newDeaths28DaysByPublishDate.x,0,31,18,49
Sum of newDeaths28DaysByDeathDate.y,1,31,21,53
Sum of newDeaths28DaysByPublishDate.y,0,31,21,52
E06000006,,,,
Halton,,,,
Sum of newDeaths28DaysByDeathDate.x,4,26,4,34
Sum of newDeaths28DaysByPublishDate.x,2,27,5,34
Sum of newDeaths28DaysByDeathDate.y,4,27,9,40
Sum of newDeaths28DaysByPublishDate.y,2,27,10,39
E06000007,,,,
Warrington,,,,
Sum of newDeaths28DaysByDeathDate.x,6,43,27,76
Sum of newDeaths28DaysByPublishDate.x,5,42,29,76
Sum of newDeaths28DaysByDeathDate.y,6,41,43,90
Sum of newDeaths28DaysByPublishDate.y,5,42,40,87
E06000008,,,,
Blackburn with Darwen,,,,
Sum of newDeaths28DaysByDeathDate.x,4,27,22,53
Sum of newDeaths28DaysByPublishDate.x,4,22,27,53
Sum of newDeaths28DaysByDeathDate.y,4,28,43,75
Sum of newDeaths28DaysByPublishDate.y,4,22,38,64
E06000009,,,,
Blackpool,,,,
Sum of newDeaths28DaysByDeathDate.x,4,38,18,60
Sum of newDeaths28DaysByPublishDate.x,4,28,30,62
Sum of newDeaths28DaysByDeathDate.y,4,38,43,85
Sum of newDeaths28DaysByPublishDate.y,4,28,38,70
E06000010,,,,
"Kingston upon Hull, City of",,,,
Sum of newDeaths28DaysByDeathDate.x,2,28,40,70
Sum of newDeaths28DaysByPublishDate.x,1,27,42,70
Sum of newDeaths28DaysByDeathDate.y,2,29,53,84
Sum of newDeaths28DaysByPublishDate.y,1,27,48,76
E06000011,,,,
East Riding of Yorkshire,,,,
Sum of newDeaths28DaysByDeathDate.x,2,28,30,60
Sum of newDeaths28DaysByPublishDate.x,1,28,35,64
Sum of newDeaths28DaysByDeathDate.y,2,29,51,82
Sum of newDeaths28DaysByPublishDate.y,1,28,54,83
E06000012,,,,
North East Lincolnshire,,,,
Sum of newDeaths28DaysByDeathDate.x,2,20,38,60
Sum of newDeaths28DaysByPublishDate.x,1,14,45,60
Sum of newDeaths28DaysByDeathDate.y,2,20,57,79
Sum of newDeaths28DaysByPublishDate.y,1,14,57,72
E06000013,,,,
North Lincolnshire,,,,
Sum of newDeaths28DaysByDeathDate.x,2,7,16,25
Sum of newDeaths28DaysByPublishDate.x,2,5,18,25
Sum of newDeaths28DaysByDeathDate.y,2,6,26,34
Sum of newDeaths28DaysByPublishDate.y,2,5,24,31
E06000014,,,,
York,,,,
Sum of newDeaths28DaysByDeathDate.x,0,6,4,10
